id,role,type,description,size/ratio,style line ref,source
bg_seven_seas,Regular-question world background,background,"Sunlit seven-seas archipelago with layered ocean, sky, distant cliffs and open central fleet lane; no ships, text or UI",1280x720 16:9,STYLE-001,generate
bg_lobby_deck,Create/join/lobby world background,background,"View from a handsome pirate ship deck with timber rail, chart table, rigging and other player ships moored beyond; clear top room-code area",1280x720 16:9,STYLE-001,generate
bg_loot_map,Loot Drop private allocation scene,background,"Captain's cabin chart table and large treasure map showing four distinct venture regions with space for draggable coins; no labels or UI",1280x720 16:9,STYLE-001,generate
sheet_answer_islands,Four regular-question destinations,sprite sheet,"Four separate answer islands: tropical ruins, sea cave, fortified pirate port and jungle temple; clean spacing and consistent scale",2048x2048 2x2,STYLE-001,generate
sheet_player_ships,Eight distinguishable player ships,sprite sheet,"Eight separate cool playful pirate ships in distinct player colours, blank hull nameplate, visible deck character position; one golden-sail captain variant",2048x2048 4x2,STYLE-001,generate
sheet_pirate_avatars,Eight selectable pirate identities,sprite sheet,"Eight diverse cool and fun pirate character portrait medallions with distinct faces, hair, clothing and silhouettes",2048x2048 4x2,STYLE-001,generate
sheet_item_icons,Visible inventory and chest reward symbols,sprite sheet,"Thirteen separate polished pirate item icons: eyepatch, parrot, telescope, hook, white flag, secret X map, rum bottle, plank, cannonball, cannon barrage, barnacle net, barnacle swarm, shark tooth",2048x2048 4x4,STYLE-001,generate
sheet_item_world_fx,World overlays for item use,sprite sheet,"Separate game effect elements: cannonball with smoke trail, iron hook and rope, flying parrot, barnacle net, white flag, eyepatch status badge, telescope glint, rum power aura",2048x2048 4x2,STYLE-001,generate
sheet_chest_ceremony,Private casino reward chest,sprite sheet,"Chained treasure chest in closed, key-turn, chain-break, glow, open and explosion poses with readable rarity escalation",2048x2048 3x2,STYLE-001,generate
poseidon_key,Poseidon Rescue character and wave source,sprite,"Noble powerful but friendly sea god rising waist-high from a wave, arms raised to rescue small pirate ships, full silhouette",1024x1024 1:1,STYLE-001,generate
poseidon_rescue_anim,Surprise Loot Drop rescue,animation,"Poseidon rises after a failed venture, giant wave defeats attackers, shoal of fish guides the actual pirate ships toward the correct destination",4s 720p 1:1 one-shot,STYLE-001,generate
shark_key,Shark Attack source characters,sprite,"Small coordinated group of funny cartoon sharks circling beneath pirate ships, energetic rather than frightening, full silhouettes",1024x1024 1:1,STYLE-001,generate
shark_attack_anim,Loot Drop fleet percentage loss,animation,"Cartoon sharks circle returning treasure ships then make a quick synchronized attack that removes a small portion of the fleet",4s 720p 1:1 one-shot,STYLE-001,generate
maroon_key,Private maroon island scene,sprite,"Small comic deserted tropical island with crooked palm, grounded damaged pirate ship, treasure chest and space for one castaway pirate",1024x1024 1:1,STYLE-001,generate
maroon_crash_anim,Sole-wrong maroon reveal,animation,"One pirate ship separates from the fleet, sails the wrong way and comically grounds on a deserted island while the fleet continues",4s 720p 16:9 one-shot,STYLE-001,generate
mutiny_maroon_anim,Lone-mutineer maroon reveal,animation,"Fleet fires a light comic cannon volley at one mutineer ship, damaging it and causing a harmless funny crash on a deserted island",4s 720p 16:9 one-shot,STYLE-001,generate
music_voyage,Looping regular-question soundtrack,audio,"Instrumental orchestral pirate adventure with sea-shanty rhythm and restrained arcade percussion; energetic but leaves room for decision sounds",30s loop,STYLE-001,generate
music_chest,Private chest-opening soundtrack,audio,"Short instrumental pirate casino build with ticking mechanical suspense, bright brass and jewel-like payoff energy",30s loop source,STYLE-001,generate
sfx_answer_lock,Confirm answer interaction,audio,"Single wooden ship bell and rope snap confirmation with a soft water wake accent",1s,STYLE-001,generate
sfx_cannon,Mutiny and item cannon impact,audio,"Single cartoony pirate cannon blast with short smoke boom and wooden impact; strong but not harsh",2s,STYLE-001,generate
sfx_coin_payout,Correct-answer treasure return,audio,"Single fast stream of gold coins landing in a wooden ship chest with a bright rewarding finish",2s,STYLE-001,generate
sfx_chest_burst,Chest rarity reveal,audio,"Single chained treasure chest unlocking then bursting open with sparkling magical reward impact",3s,STYLE-001,generate
sfx_sea_ambient,Continuous voyage ambience,audio,"Loopable gentle ocean wake, timber creaks, sail movement and distant seabirds with no music",20s loop,STYLE-001,generate
